City,Converted,Country,Created Date,Dead Reason,Email Opt Out,Industry,Key Account,Last Status Change,Lead ID,Lead Source,Lead Status at Conversion,LeadRecordType,LS Team Notified,Next_Step__c (Leads),Pardot Conversion Date,Pardot Created Date,Pardot First Activity,Pardot Last Activity,Primary Research Application,Product Category,Record Type ID,SS Team Notified,State/Province,Status,Campaign Membership Count,Pardot Score
Taipei,FALSE,Taiwan,08-03-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,11-04-2021,00Q5A00001RC4xTUAT,Eblasts,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,14-08-2020,08-03-2021,08-03-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,5
Princeton,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG34uUAD,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,28-05-2019,31-08-2020,31-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New Jersey,Nurturing,0,0
Zurich,FALSE,Switzerland,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG353UAD,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,30-03-2020,31-08-2020,31-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,2
Reynoldsburg,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,29-03-2021,00Q5A00001RG34sUAD,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,28-05-2019,20-06-2019,15-03-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Ohio,Nurturing,1,0
Buffalo,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,29-03-2021,00Q5A00001RG34wUAD,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,20-06-2019,30-09-2020,18-11-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New York,Nurturing,1,1
London,FALSE,United Kingdom,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5eUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,0
Lviv,FALSE,Ukraine,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnaUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,3
Plan Les Ouates,FALSE,Switzerland,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnmUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
King Of Prussia,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe37UAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,1
Waltham,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe38UAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,1,0
Chevy Chase,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3CUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,2
Washington,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3DUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Disctict Of Columbia,Nurturing,1,0
Gaithersburg,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3IUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
Bagsværd,FALSE,Denmark,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3JUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,2
Bagsvrd,FALSE,Denmark,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3WUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,3
Bagsvrd,FALSE,Denmark,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3YUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,2
Gothenburg,FALSE,Sweden,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3cUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Basel,FALSE,Switzerland,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3eUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Basel,FALSE,Switzerland,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3fUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Cambridge,FALSE,United Kingdom,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3hUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Watertown,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3sUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,1,2
Southport,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe43UAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,North Carolina,Nurturing,1,4
Fairfield,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe48UAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New Jersey,Nurturing,1,0
Summit,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4AUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New Jersey,Nurturing,1,0
Malvern,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4MUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,1
Silver Spring,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4WUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
Lansdale,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4aUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,1
Rockville,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4eUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
North Reading,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4lUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,1,3
Chadds Ford,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4sUAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,0
Silver Spring,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe57UAD,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
Acton,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe5HUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,1,0
Chadds Ford,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe5MUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,1
Kenilworth,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe5PUAT,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New Jersey,Nurturing,1,0
Unknown City,FALSE,Switzerland,09-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,09-11-2020,00Q5A00001RGPgYUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,09-11-2020,24-03-2021,24-03-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,4
Rheinstetten,FALSE,Germany,09-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,09-11-2020,00Q5A00001RGPgkUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,09-11-2020,19-11-2020,28-06-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Aalen,FALSE,Germany,09-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,09-11-2020,00Q5A00001RGPglUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,09-11-2020,20-11-2020,20-11-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Frankfurt Am Main,FALSE,Germany,09-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,09-11-2020,00Q5A00001RGPgqUAH,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,09-11-2020,05-11-2020,07-06-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,13
Wuppertal,FALSE,Germany,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5HUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,North Rhine-Westphalia,Nurturing,1,0
Hradec Králové,FALSE,Czech Republic,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5LUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,30-03-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Ghent,FALSE,Belgium,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5NUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,30-03-2020,31-08-2020,31-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,4
Maaloev,FALSE,Denmark,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5RUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,5
Thoiry,FALSE,France,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5SUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,5
Sinzing,FALSE,Germany,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5TUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Lisbon,FALSE,Portugal,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5XUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Porto,FALSE,Portugal,13-11-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,13-11-2020,00Q5A00001RGV5ZUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-11-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,2
Easton,FALSE,United States,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnUUAX,Trade Show,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,14-12-2020,17-12-2020,17-12-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,2,0
Buffalo,FALSE,United States,15-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,15-12-2020,00Q5A00001RAkT6UAL,Webinar,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,15-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New York,Nurturing,2,0
Valncia,FALSE,Spain,15-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,15-12-2020,00Q5A00001RAkTFUA1,Webinar,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,15-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,2,2
Greensboro,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG35PUAT,Google Natural Search,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,14-08-2020,15-05-2019,19-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,North Carolina,Nurturing,0,0
Houston,FALSE,United States,08-02-2021,Reason Not Recorded,FALSE,Life Sciences,FALSE,28-06-2021,00Q5A00001RBe4bUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Texas,Disqualified,1,0
Burnaby,FALSE,Canada,14-12-2020,Other,FALSE,Life Sciences,FALSE,05-01-2021,00Q5A00001RAUnWUAX,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Disqualified,1,3
St. John'S,FALSE,Canada,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,11-04-2021,00Q5A00001RG35MUAT,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-08-2020,02-09-2020,15-03-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,MQL,1,40
Wagga Wagga Nsw,FALSE,Australia,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,11-04-2021,00Q5A00001RG35RUAT,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-08-2020,19-08-2020,30-09-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,MQL,0,43
Suita,FALSE,Japan,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,11-04-2021,00Q5A00001RAUnhUAH,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,23-12-2020,23-12-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,MQL,4,44
Santa Fe,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG34qUAD,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,21-05-2019,31-08-2020,31-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,New Mexico,Nurturing,0,0
Midland,FALSE,Canada,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG34yUAD,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,20-06-2019,31-08-2020,31-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,3
Tel Aviv,FALSE,Israel,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG350UAD,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,20-06-2019,30-09-2020,30-09-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,0,3
Fort Smith,FALSE,United States,23-10-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,23-10-2020,00Q5A00001RG354UAD,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-08-2020,19-08-2020,30-09-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Arkansas,Nurturing,0,2
Navi Mumbai,FALSE,India,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnSUAX,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Bhopal,FALSE,India,14-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,14-12-2020,00Q5A00001RAUnYUAX,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Edmonton,FALSE,Canada,17-12-2020,N/A - Active Lead,FALSE,Life Sciences,FALSE,17-12-2020,00Q5A00001RAojxUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,17-12-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
Indianapolis,FALSE,United States,05-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,05-02-2021,00Q5A00001RBbU3UAL,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,05-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Indiana,Nurturing,1,1
Kobe,FALSE,Japan,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe34UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,28-06-2021,28-06-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Hyogo,Nurturing,1,6
South San Francisco,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe36UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,2
Thousand Oaks,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3AUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
Accra,FALSE,Ghana,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3BUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,14-06-2021,14-06-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,7
Mundelein,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3EUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Illinois,Nurturing,1,4
Redwood City,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3MUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,26-02-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
Redwood City,FALSE,Usa,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3PUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,27-06-2019,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,26
Buenos Aires,FALSE,Argentina,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3SUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,1
South San Francisco,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3nUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,4
Oceanside,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3pUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
Bothell,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3qUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,11-02-2021,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Washington,Nurturing,1,0
Bothell,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe3uUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,11-02-2021,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Washington,Nurturing,1,0
South San Francisco,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe40UAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
Kansas City,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4FUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Missouri,Nurturing,1,4
South San Francisco,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4GUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,2
San Diego,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4HUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
San Francisco,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4SUAT,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,0
Bothell,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4mUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,11-02-2021,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Washington,Nurturing,1,0
Bothell,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4oUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,11-02-2021,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Washington,Nurturing,1,0
South San Francisco,FALSE,United States,08-02-2021,N/A - Active Lead,FALSE,Life Sciences,FALSE,08-02-2021,00Q5A00001RBe4tUAD,Trade Show,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,08-02-2021,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,4
